Profanity,Canonical Form 1,Canonical Form 2,Canonical Form 3,Severity Rating
aboe,abo,,,1.0
anal,anal,,,2.4
anal ,anal,,,2.2
analplug,anal,,,2.2
anal,anal,,,2.2
analplugs,anal,,,2.0
anilingus,anal,,,1.8
analingus,anal,,,1.6
anal,anal,,,1.0
anusplug,anus,,,2.0
anus,anus,,,1.0
arse-shagger,arse,,,2.4
feck arse,arse,,,2.2
arse-bandits,arse,,,2.2
arse gobbler,arse,,,2.0
arseshit,arse,shit,,1.8
arse-hole,arse,,,1.8
arsehole,arse,,,1.4
arsewipe,arse,,,1.4
ar5ehole,arse,,,1.4
4r5e,arse,,,1.4
4r5ed,arse,,,1.4
4r5es,arse,,,1.4
arsehole,arse,,,1.2
jackarse,arse,,,1.0
arse,arse,,,1.0
ar5e,arse,,,1.0
arse-bandit,arse,,,2.0
jackasss,ass,,,1.2
jackass,ass,,,1.0
dumbarrassed,ass,,,1.4
dumbass,ass,,,1.4
punkasses,ass,,,1.2
darkass,ass,,,2.6
tard asses,ass,,,3.0
assfcker,ass,fuck,,2.8
assfook,ass,fuck,,2.6
assfck,ass,fuck,,2.6
assfkcer,ass,fuck,,2.6
dumbass mofoes,ass,motherfucker,,2.4
assmuncher,ass,,,2.2
assfker,ass,fuck,,2.2
assfkr,ass,fuck,,2.2
assfk,ass,fuck,,2.2
assfuccer,ass,fuck,,2.2
markasses,ass,,,2.0
ass-hole,ass,,,2.0
assmunch,ass,,,1.8
asshol3,ass,,,1.8
ass-bandit,ass,,,1.8
ass,ass,,,1.6
asswipe,ass,,,1.6
azzhole,ass,,,1.6
assholes,ass,,,1.6
asslicking,ass,,,1.6
assface,ass,,,1.6
assbandit,ass,,,1.6
@sshole,ass,,,1.6
ashole,ass,,,1.6
asswhole,ass,,,1.4
fatasses,ass,,,1.2
fatass,ass,,,1.2
dumb@ss,ass,,,1.2
asshat,ass,,,1.2
asshole,ass,,,1.2
asshole,ass,,,1.2
asskisser,ass,,,1.2
wiseass,ass,,,1.0
stupidasses,ass,,,1.0
ass,ass,,,1.0
jackasses,ass,,,1.0
dumbasses,ass,,,1.0
dumasses,ass,,,1.0
azz,ass,,,1.0
ass,ass,,,1.0
asses,ass,,,1.0
@55,ass,,,1.0
a_s_s,ass,,,1.0
ballsack,ballsack,,,1.0
baztad,bastard,,,1.8
basturd,bastard,,,1.2
bastinado,bastard,,,1.8
bastard,bastard,,,1.6
bastards,bastard,,,1.6
bastard,bastard,,,1.2
bastard,bastard,retard,,1.2
bassturd,bastard,,,1.2
bastid,bastard,,,1.2
basterd,bastard,,,1.0
bastardish,bastard,,,1.0
bellend,bellend,,,1.0
bellend,bellend,,,1.2
bitchez,bitch,,,1.8
bitches,bitch,,,1.6
bitch,bitch,,,1.4
sons-of-bitches,bitch,,,1.4
sonofabitch,bitch,,,1.4
bitch,bitch,,,1.2
beyotch,bitch,,,1.2
b1tchin,bitch,,,1.2
bitchin,bitch,,,1.2
bitchin',bitch,,,1.0
slanteye b1tch,bitch,slant eye,,2.6
bitchhole,bitch,,,2.4
bitchtits,bitch,,,2.2
dumbass son-of-a-bitch,bitch,ass,,1.8
bitchasses,bitch,ass,,1.8
bitchy ass,bitch,ass,,1.8
g@y b1tch,bitch,,,2.6
trashbitch,bitch,,,2.0
trashybitches,bitch,,,1.8
trashb1tch,bitch,,,1.8
sumbitch,bitch,,,1.6
b1tches,bitch,,,1.6
bitch,bitch,,,1.6
bizzach,bitch,,,1.6
bitchness,bitch,,,1.6
bitchass,bitch,ass,,1.6
bitches,bitch,,,1.6
trashbtch,bitch,,,1.4
trasherbitch,bitch,,,1.4
trashbitches,bitch,,,1.4
l3itch,bitch,,,1.4
b1tch,bitch,,,1.4
b1tch3s,bitch,,,1.4
b1tchs,bitch,,,1.4
b1otch,bitch,,,1.4
b17ch,bitch,,,1.4
b1tchees,bitch,,,1.4
b1tches,bitch,,,1.4
b!tch,bitch,,,1.4
bitcher,bitch,,,1.4
biches,bitch,,,1.4
biotchez,bitch,,,1.4
bitch,bitch,,,1.4
bitchers,bitch,,,1.4
