Profanity,Canonical Form 1,Canonical Form 2,Canonical Form 3,Severity Rating
towelhead,towelhead,,,3
tard asses,ass,,,3
towelheads,towelhead,,,3
timber nigger,nigger,,,3
wetback,wetback,,,3
spicshit,spic,shit,,3
spic,spic,,,3
sl@nteye,slant eye,,,3
spix,spic,,,3
spik,spic,,,3
slanteyeshit,shit,slant eye,,3
slanteyes,slant eye,,,3
slanteye,slant eye,,,3
spicfuck,fuck,spic,,3
spook,spook,,,3
rice monkey,monkey,,,3
sand nigger,nigger,,,3
raghead,raghead,,,3
ragtard,retard,raghead,,3
queerasses,queer,ass,,3
piggyfuck,fuck,pig,,3
porch monkey,porch monkey,,,3
phags,faggot,,,3
pigfuckers,fuck,pig,,3
phagot,faggot,,,3
piss off fuckhead,fuck,,,3
penisfvcker,penis,fuck,,3
penisfcker,penis,fuck,,3
phaggots,faggot,,,3
penisfucker,fuck,penis,,3
penisfuckers,fuck,penis,,3
nigger,nigger,,,3
nikk3r,nigger,,,3
niggers,nigger,,,3
nigguhz,nigger,,,3
nigg3r,nigger,,,3
nikkas,nigger,,,3
niglet,nigger,,,3
nigers,nigger,,,3
nigre,nigger,nigga,,3
p3nisfcker,penis,fuck,,3
nignigs,nigger,,,3
nigguhs,nigger,,,3
nigger lover,nigger,,,3
niggir,nigger,,,3
nigga lover,nigger,,,3
nigg3rs,nigger,,,3
nigg4h,nigger,,,3
niggahz,nigger,,,3
nigasses,nigger,ass,,3
niggerz,nigger,,,3
niggress,nigger,,,3
mothter fuck,motherfucker,,,3
motherfukker,motherfucker,,,3
motherfuckeds,motherfucker,,,3
motherfucked,motherfucker,,,3
motherfuckkas,motherfucker,,,3
muthafuckker,motherfucker,,,3
muthafukka,motherfucker,,,3
mtherfuker,motherfucker,,,3
motherfuckkers,motherfucker,,,3
motherfukka,motherfucker,,,3
motherfucker,motherfucker,,,3
motherfvcker,motherfucker,,,3
muddafukkas,motherfucker,,,3
motherfucks,motherfucker,,,3
muthafeckers,motherfucker,,,3
motherfuccas,motherfucker,,,3
motherfuckka,motherfucker,,,3
motherfuccers,motherfucker,,,3
muthafuckers,motherfucker,,,3
muthafuckings,motherfucker,,,3
motherfcking,motherfucker,,,3
n1g3r,nigger,,,3
n1gg3rs,nigger,,,3
nickker,nigger,,,3
n1ggas,nigger,,,3
n1g3rz,nigger,,,3
n1gg3r,nigger,,,3
n1ggazes,nigger,,,3
motherfckin,motherfucker,,,3
n1gger,nigger,,,3
n1ggers,nigger,,,3
nickk3r,nigger,,,3
n1gg@,nigger,,,3
nicker,nigger,,,3
nig,nigger,,,3
n1ggahs,niggers,,,3
mothafuccer,motherfucker,,,3
mothafuckasses,motherfucker,ass,,3
m@derfuck,motherfucker,,,3
mothafucker,motherfucker,,,3
mothafucking,motherfucker,,,3
mother fucking,motherfucker,,,3
mothafuckazzes,motherfucker,,,3
mother fuckers,motherfucker,,,3
motha fuckers,motherfucker,,,3
mothafuccing,motherfucker,,,3
m0therfvcker,motherfucker,,,3
m0thafucker,motherfucker,,,3
m0therfucking,motherfucker,,,3
mother fucker,motherfucker,,,3
mecha fag,faggot,,,3
mfukk,motherfucker,,,3
m0thafucked,motherfucker,,,3
k..!ke,kike,,,3
k1k3,kike,,,3
k!ke,kike,,,3
kike,kike,,,3
jiggyboo,jiggaboo,,,3
jiggerboos,jiggaboo,,,3
kid diddler,diddle,,,3
kikes,kike,,,3
jiggaboos,jiggaboo,,,3
jiggaboo,jiggaboo,,,3
jigger,jiggaboo,nigger,,3
jiggabu,jiggaboo,,,3
kyke,kike,,,3
higgers,nigger,,,3
fucking retard,fuck,retard,,3
fudgepacking fucker,fudge packer,fuck,,3
fudgepackershitter,fudge packer,shit,,3
fudgefucker,fudge packer,fuck,,3
dune coon,coon,,,3
faggy,faggot,,,3
f@gs,faggot,,,3
f@ggot,faggot,,,3
fags,faggot,,,3
f@gg0t,faggot,,,3
fag0t,faggot,,,3
faggoting,faggot,,,3
faggs,faggot,,,3
faggot son-of-a-bitch,faggot,bitch,,3
fagg0t,faggot,,,3
fagging,faggot,,,3
faget,faggot,,,3
faggot nobjockies,faggot,knob,,3
faggots,faggot,,,3
faggot mofoes,faggot,motherfucker,,3
faggot mothafuckers,motherfucker,faggot,,3
fagshit,faggot,shit,,3
faggot nob jokeys,faggot,knob,,3
dog fucker,fuck,,,3
darktard,retard,darky,,3
darkshit,shit,,,3
cocksucking mothafuckers,motherfucker,cock,,3
coon,coon,,,3
cunt licker,cunt,,,3
cuntbag,cunt,,,3
coonies,coon,,,3
cunt lick,cunt,,,3
cuntness,cunt,,,3
cuntlick,cunt,,,3
coon1es,coon,,,3
c*ntface,cunt,,,3
chinky,chink,,,3
ch1nk,chink,,,3
c*nt,cunt,,,3
butt fucker,fuck,butt,,3
buttfucker,fuck,butt,,3
chink,chink,,,3
buttfuckers,fuck,butt,,3
assfvck3r,fuck,ass,,3
animal fucker,fuck,,,3
tranny,tranny,,,2.8
tard,retard,,,2.8
swine fucker,fuck,swine,,2.8
tongue fucking,fuck,,,2.8
wet back,wetback,,,2.8
